mission,device_type,device_status,num_events
CLNM,engine,excellent,1
CLNM,engine,faulty,2
CLNM,engine,killed,1
CLNM,engine,unknown,1
CLNM,engine,warning,1
CLNM,rocket,excellent,1
CLNM,rocket,good,1
CLNM,rocket,unknown,1
CLNM,satellite,faulty,1
CLNM,satellite,killed,1
CLNM,space_prob,excellent,1
CLNM,spaceship,faulty,1
CLNM,telescope,good,1
CLNM,telescope,unknown,1
GALXONE,engine,faulty,1
GALXONE,engine,good,1
GALXONE,engine,killed,2
GALXONE,engine,unknown,2
GALXONE,engine,warning,1
GALXONE,rocket,excellent,1
GALXONE,rocket,killed,1
GALXONE,rocket,warning,1
GALXONE,satellite,excellent,2
GALXONE,satellite,faulty,1
GALXONE,satellite,good,1
GALXONE,satellite,unknown,1
GALXONE,space_prob,excellent,1
GALXONE,space_prob,faulty,2
GALXONE,space_prob,killed,1
GALXONE,space_prob,warning,1
GALXONE,spaceship,unknown,1
GALXONE,telescope,excellent,2
GALXONE,telescope,faulty,1
GALXONE,telescope,killed,1
GALXONE,telescope,unknown,1
ORBONE,engine,good,1
ORBONE,engine,killed,2
ORBONE,engine,unknown,1
ORBONE,rocket,excellent,2
ORBONE,rocket,faulty,1
ORBONE,rocket,killed,1
ORBONE,rocket,warning,1
ORBONE,satellite,good,1
ORBONE,satellite,killed,1
ORBONE,satellite,unknown,1
ORBONE,satellite,warning,3
ORBONE,space_prob,faulty,1
ORBONE,space_prob,good,1
ORBONE,space_prob,killed,1
ORBONE,space_prob,unknown,1
ORBONE,spaceship,good,1
ORBONE,spaceship,killed,1
ORBONE,spaceship,warning,1
ORBONE,telescope,excellent,1
ORBONE,telescope,good,1
ORBONE,telescope,killed,2
TMRS,engine,excellent,3
TMRS,engine,good,1
TMRS,engine,killed,2
TMRS,engine,warning,1
TMRS,rocket,killed,2
TMRS,satellite,excellent,3
TMRS,satellite,faulty,1
TMRS,satellite,good,1
TMRS,satellite,killed,1
TMRS,satellite,warning,1
TMRS,space_prob,unknown,1
TMRS,space_prob,warning,1
TMRS,spaceship,good,2
TMRS,spaceship,unknown,1
TMRS,spaceship,warning,1
TMRS,telescope,excellent,2
TMRS,telescope,faulty,1
TMRS,telescope,killed,3
TMRS,telescope,warning,2
UNKN,unknown,unknown,19
