mission,device_type,percent_of_total_events
CLNM,engine,2.91
CLNM,rocket,1.74
CLNM,satellite,2.33
CLNM,space_prob,2.91
CLNM,spaceship,2.33
CLNM,telescope,5.81
GALXONE,engine,3.49
GALXONE,rocket,2.91
GALXONE,satellite,4.65
GALXONE,space_prob,4.65
GALXONE,spaceship,3.49
GALXONE,telescope,4.07
ORBONE,engine,3.49
ORBONE,rocket,3.49
ORBONE,satellite,3.49
ORBONE,space_prob,1.16
ORBONE,spaceship,4.07
ORBONE,telescope,3.49
TMRS,engine,4.07
TMRS,rocket,3.49
TMRS,satellite,4.07
TMRS,space_prob,4.07
TMRS,spaceship,2.91
TMRS,telescope,2.33
UNKN,unknown,18.6
