mission,device_type,device_status,num_events
CLNM,engine,good,2
CLNM,engine,killed,1
CLNM,engine,unknown,1
CLNM,engine,warning,1
CLNM,rocket,good,2
CLNM,rocket,unknown,1
CLNM,satellite,faulty,1
CLNM,satellite,good,1
CLNM,satellite,killed,1
CLNM,satellite,unknown,1
CLNM,space_prob,good,2
CLNM,space_prob,killed,1
CLNM,space_prob,unknown,1
CLNM,space_prob,warning,1
CLNM,spaceship,good,1
CLNM,spaceship,killed,2
CLNM,spaceship,warning,1
CLNM,telescope,excellent,2
CLNM,telescope,faulty,3
CLNM,telescope,good,1
CLNM,telescope,killed,3
CLNM,telescope,unknown,1
GALXONE,engine,faulty,2
GALXONE,engine,good,1
GALXONE,engine,killed,2
GALXONE,engine,unknown,1
GALXONE,rocket,excellent,1
GALXONE,rocket,unknown,1
GALXONE,rocket,warning,3
GALXONE,satellite,faulty,2
GALXONE,satellite,good,1
GALXONE,satellite,killed,3
GALXONE,satellite,unknown,1
GALXONE,satellite,warning,1
GALXONE,space_prob,excellent,1
GALXONE,space_prob,faulty,1
GALXONE,space_prob,killed,2
GALXONE,space_prob,unknown,2
GALXONE,space_prob,warning,2
GALXONE,spaceship,excellent,1
GALXONE,spaceship,good,1
GALXONE,spaceship,killed,1
GALXONE,spaceship,warning,3
GALXONE,telescope,excellent,2
GALXONE,telescope,faulty,2
GALXONE,telescope,good,1
GALXONE,telescope,unknown,1
GALXONE,telescope,warning,1
ORBONE,engine,excellent,1
ORBONE,engine,good,3
ORBONE,engine,unknown,2
ORBONE,rocket,excellent,1
ORBONE,rocket,faulty,1
ORBONE,rocket,good,1
ORBONE,rocket,killed,1
ORBONE,rocket,unknown,1
ORBONE,rocket,warning,1
ORBONE,satellite,excellent,2
ORBONE,satellite,faulty,1
ORBONE,satellite,good,2
ORBONE,satellite,killed,1
ORBONE,space_prob,excellent,1
ORBONE,space_prob,faulty,1
ORBONE,spaceship,excellent,1
ORBONE,spaceship,good,1
ORBONE,spaceship,killed,1
ORBONE,spaceship,warning,4
ORBONE,telescope,faulty,2
ORBONE,telescope,good,2
ORBONE,telescope,unknown,1
ORBONE,telescope,warning,1
TMRS,engine,excellent,1
TMRS,engine,faulty,1
TMRS,engine,good,1
TMRS,engine,unknown,1
TMRS,engine,warning,3
TMRS,rocket,excellent,1
TMRS,rocket,faulty,1
TMRS,rocket,killed,1
TMRS,rocket,warning,3
TMRS,satellite,excellent,1
TMRS,satellite,faulty,3
TMRS,satellite,good,1
TMRS,satellite,unknown,1
TMRS,satellite,warning,1
TMRS,space_prob,excellent,1
TMRS,space_prob,faulty,1
TMRS,space_prob,good,1
TMRS,space_prob,killed,1
TMRS,space_prob,unknown,3
TMRS,spaceship,excellent,1
TMRS,spaceship,faulty,1
TMRS,spaceship,killed,1
TMRS,spaceship,unknown,2
TMRS,telescope,excellent,1
TMRS,telescope,faulty,1
TMRS,telescope,good,1
TMRS,telescope,unknown,1
UNKN,unknown,unknown,32
