mission,device_type,device_status,num_events
CLNM,engine,unknown,1
CLNM,satellite,faulty,1
CLNM,satellite,unknown,1
CLNM,satellite,warning,1
CLNM,space_prob,excellent,2
CLNM,space_prob,good,1
CLNM,space_prob,killed,3
CLNM,spaceship,excellent,1
CLNM,spaceship,faulty,1
CLNM,spaceship,warning,1
CLNM,telescope,faulty,1
CLNM,telescope,good,1
CLNM,telescope,unknown,1
CLNM,telescope,warning,1
GALXONE,engine,excellent,2
GALXONE,engine,faulty,1
GALXONE,engine,warning,2
GALXONE,rocket,excellent,1
GALXONE,rocket,faulty,1
GALXONE,satellite,good,1
GALXONE,satellite,killed,1
GALXONE,satellite,warning,1
GALXONE,space_prob,excellent,1
GALXONE,spaceship,faulty,1
GALXONE,spaceship,good,1
GALXONE,spaceship,unknown,1
GALXONE,spaceship,warning,1
GALXONE,telescope,excellent,1
GALXONE,telescope,unknown,1
GALXONE,telescope,warning,2
ORBONE,engine,good,1
ORBONE,engine,killed,1
ORBONE,engine,unknown,1
ORBONE,engine,warning,1
ORBONE,rocket,good,2
ORBONE,rocket,killed,1
ORBONE,rocket,warning,1
ORBONE,satellite,faulty,1
ORBONE,satellite,good,1
ORBONE,satellite,warning,1
ORBONE,space_prob,warning,1
ORBONE,spaceship,excellent,1
ORBONE,spaceship,good,1
ORBONE,spaceship,warning,1
ORBONE,telescope,excellent,1
ORBONE,telescope,killed,1
TMRS,engine,killed,1
TMRS,engine,unknown,2
TMRS,rocket,excellent,1
TMRS,rocket,good,1
TMRS,rocket,killed,1
TMRS,satellite,excellent,1
TMRS,satellite,unknown,1
TMRS,space_prob,killed,1
TMRS,space_prob,unknown,1
TMRS,spaceship,excellent,1
TMRS,spaceship,faulty,1
TMRS,spaceship,warning,1
TMRS,telescope,excellent,2
TMRS,telescope,warning,1
UNKN,unknown,unknown,23
