mission,device_type,percent_of_total_events
CLNM,engine,1.09
CLNM,satellite,3.26
CLNM,space_prob,6.52
CLNM,spaceship,3.26
CLNM,telescope,4.35
GALXONE,engine,5.43
GALXONE,rocket,2.17
GALXONE,satellite,3.26
GALXONE,space_prob,1.09
GALXONE,spaceship,4.35
GALXONE,telescope,4.35
ORBONE,engine,4.35
ORBONE,rocket,4.35
ORBONE,satellite,3.26
ORBONE,space_prob,1.09
ORBONE,spaceship,3.26
ORBONE,telescope,2.17
TMRS,engine,3.26
TMRS,rocket,3.26
TMRS,satellite,2.17
TMRS,space_prob,2.17
TMRS,spaceship,3.26
TMRS,telescope,3.26
UNKN,unknown,25.0
