mission,device_type,percent_of_total_events
CLNM,engine,1.98
CLNM,rocket,2.97
CLNM,satellite,2.97
CLNM,space_prob,1.98
CLNM,spaceship,4.95
CLNM,telescope,2.97
GALXONE,engine,2.97
GALXONE,rocket,0.99
GALXONE,satellite,6.93
GALXONE,space_prob,6.93
GALXONE,spaceship,5.94
ORBONE,engine,0.99
ORBONE,rocket,2.97
ORBONE,satellite,4.95
ORBONE,space_prob,2.97
ORBONE,spaceship,1.98
ORBONE,telescope,3.96
TMRS,engine,1.98
TMRS,rocket,3.96
TMRS,satellite,6.93
TMRS,space_prob,3.96
TMRS,spaceship,1.98
TMRS,telescope,3.96
UNKN,unknown,17.82
