mission,device_type,device_status,num_events
CLNM,engine,unknown,2
CLNM,rocket,good,2
CLNM,rocket,killed,1
CLNM,satellite,warning,3
CLNM,space_prob,excellent,2
CLNM,spaceship,excellent,2
CLNM,spaceship,good,2
CLNM,spaceship,killed,1
CLNM,telescope,excellent,2
CLNM,telescope,faulty,1
GALXONE,engine,excellent,1
GALXONE,engine,good,1
GALXONE,engine,killed,1
GALXONE,rocket,killed,1
GALXONE,satellite,faulty,1
GALXONE,satellite,good,1
GALXONE,satellite,killed,2
GALXONE,satellite,unknown,1
GALXONE,satellite,warning,2
GALXONE,space_prob,excellent,2
GALXONE,space_prob,faulty,2
GALXONE,space_prob,killed,1
GALXONE,space_prob,warning,2
GALXONE,spaceship,excellent,1
GALXONE,spaceship,good,1
GALXONE,spaceship,killed,2
GALXONE,spaceship,warning,2
ORBONE,engine,warning,1
ORBONE,rocket,excellent,1
ORBONE,rocket,unknown,1
ORBONE,rocket,warning,1
ORBONE,satellite,excellent,1
ORBONE,satellite,faulty,1
ORBONE,satellite,good,2
ORBONE,satellite,warning,1
ORBONE,space_prob,good,1
ORBONE,space_prob,warning,2
ORBONE,spaceship,excellent,1
ORBONE,spaceship,faulty,1
ORBONE,telescope,excellent,1
ORBONE,telescope,faulty,2
ORBONE,telescope,unknown,1
TMRS,engine,unknown,1
TMRS,engine,warning,1
TMRS,rocket,good,1
TMRS,rocket,killed,3
TMRS,satellite,excellent,1
TMRS,satellite,faulty,1
TMRS,satellite,killed,1
TMRS,satellite,unknown,4
TMRS,space_prob,good,2
TMRS,space_prob,warning,2
TMRS,spaceship,good,1
TMRS,spaceship,warning,1
TMRS,telescope,excellent,1
TMRS,telescope,good,1
TMRS,telescope,killed,1
TMRS,telescope,warning,1
UNKN,unknown,unknown,18
