mission,device_type,percent_of_total_events
CLNM,engine,5.0
CLNM,satellite,1.5
CLNM,space_prob,1.5
CLNM,spaceship,3.5
CLNM,telescope,3.0
GALXONE,engine,3.5
GALXONE,rocket,3.5
GALXONE,satellite,2.5
GALXONE,space_prob,4.5
GALXONE,spaceship,3.0
GALXONE,telescope,2.5
ORBONE,engine,5.0
ORBONE,rocket,3.0
ORBONE,satellite,3.0
ORBONE,space_prob,3.0
ORBONE,spaceship,4.5
ORBONE,telescope,4.5
TMRS,engine,4.0
TMRS,rocket,4.0
TMRS,satellite,2.0
TMRS,space_prob,4.0
TMRS,spaceship,5.0
TMRS,telescope,3.0
UNKN,unknown,21.0
