mission,device_type,percent_of_total_events
CLNM,engine,4.73
CLNM,rocket,2.96
CLNM,satellite,2.96
CLNM,space_prob,5.33
CLNM,spaceship,2.96
CLNM,telescope,2.37
GALXONE,engine,2.37
GALXONE,rocket,2.37
GALXONE,satellite,1.78
GALXONE,space_prob,4.73
GALXONE,spaceship,2.37
GALXONE,telescope,4.73
ORBONE,engine,2.96
ORBONE,rocket,3.55
ORBONE,satellite,5.92
ORBONE,space_prob,3.55
ORBONE,spaceship,1.78
ORBONE,telescope,3.55
TMRS,engine,4.14
TMRS,rocket,1.78
TMRS,satellite,4.73
TMRS,space_prob,1.18
TMRS,spaceship,6.51
TMRS,telescope,1.18
UNKN,unknown,19.53
