mission,device_type,device_status,num_events
CLNM,engine,excellent,2
CLNM,engine,good,1
CLNM,engine,killed,1
CLNM,engine,unknown,2
CLNM,engine,warning,2
CLNM,rocket,excellent,1
CLNM,rocket,faulty,2
CLNM,rocket,good,1
CLNM,rocket,warning,1
CLNM,satellite,excellent,1
CLNM,satellite,faulty,1
CLNM,satellite,good,2
CLNM,satellite,killed,1
CLNM,space_prob,excellent,3
CLNM,space_prob,faulty,2
CLNM,space_prob,good,1
CLNM,space_prob,killed,2
CLNM,space_prob,warning,1
CLNM,spaceship,faulty,1
CLNM,spaceship,killed,1
CLNM,spaceship,unknown,1
CLNM,spaceship,warning,2
CLNM,telescope,excellent,1
CLNM,telescope,good,2
CLNM,telescope,unknown,1
GALXONE,engine,faulty,1
GALXONE,engine,killed,1
GALXONE,engine,unknown,2
GALXONE,rocket,excellent,1
GALXONE,rocket,good,1
GALXONE,rocket,killed,1
GALXONE,rocket,warning,1
GALXONE,satellite,killed,1
GALXONE,satellite,warning,2
GALXONE,space_prob,excellent,2
GALXONE,space_prob,faulty,3
GALXONE,space_prob,good,3
GALXONE,spaceship,excellent,1
GALXONE,spaceship,faulty,1
GALXONE,spaceship,killed,1
GALXONE,spaceship,unknown,1
GALXONE,telescope,excellent,1
GALXONE,telescope,faulty,1
GALXONE,telescope,good,3
GALXONE,telescope,unknown,1
GALXONE,telescope,warning,2
ORBONE,engine,faulty,2
ORBONE,engine,killed,1
ORBONE,engine,unknown,1
ORBONE,engine,warning,1
ORBONE,rocket,excellent,1
ORBONE,rocket,good,1
ORBONE,rocket,killed,1
ORBONE,rocket,unknown,1
ORBONE,rocket,warning,2
ORBONE,satellite,excellent,4
ORBONE,satellite,faulty,1
ORBONE,satellite,good,2
ORBONE,satellite,killed,2
ORBONE,satellite,warning,1
ORBONE,space_prob,faulty,3
ORBONE,space_prob,killed,1
ORBONE,space_prob,unknown,1
ORBONE,space_prob,warning,1
ORBONE,spaceship,unknown,1
ORBONE,spaceship,warning,2
ORBONE,telescope,excellent,2
ORBONE,telescope,faulty,2
ORBONE,telescope,killed,1
ORBONE,telescope,unknown,1
TMRS,engine,faulty,1
TMRS,engine,good,2
TMRS,engine,killed,1
TMRS,engine,unknown,2
TMRS,engine,warning,1
TMRS,rocket,excellent,1
TMRS,rocket,faulty,1
TMRS,rocket,good,1
TMRS,satellite,excellent,1
TMRS,satellite,faulty,2
TMRS,satellite,good,1
TMRS,satellite,unknown,1
TMRS,satellite,warning,3
TMRS,space_prob,killed,1
TMRS,space_prob,unknown,1
TMRS,spaceship,excellent,3
TMRS,spaceship,faulty,1
TMRS,spaceship,good,1
TMRS,spaceship,killed,3
TMRS,spaceship,unknown,3
TMRS,telescope,excellent,1
TMRS,telescope,unknown,1
UNKN,unknown,unknown,33
