date	mission	device_type	device_status	hash
210625154214	CLNM	satellite	excellent	MjEwNjI1MTU0MjE0Q0xOTXNhdGVsbGl0ZWV4Y2VsbGVudDE4MTY1Cg==
210625154214	CLNM	rocket	faulty	MjEwNjI1MTU0MjE0Q0xOTXJvY2tldGZhdWx0eTI1OTIwCg==
210625154214	CLNM	rocket	good	MjEwNjI1MTU0MjE0Q0xOTXJvY2tldGdvb2QyOTUyNgo=
210625154214	CLNM	engine	unknown	MjEwNjI1MTU0MjE0Q0xOTWVuZ2luZXVua25vd24xNDc5MQo=
210625154214	CLNM	space_prob	faulty	MjEwNjI1MTU0MjE0Q0xOTXNwYWNlX3Byb2JmYXVsdHkxNDM2NAo=
210625154214	CLNM	satellite	good	MjEwNjI1MTU0MjE0Q0xOTXNhdGVsbGl0ZWdvb2QyNzYwNgo=
210625154214	CLNM	engine	warning	MjEwNjI1MTU0MjE0Q0xOTWVuZ2luZXdhcm5pbmcyNzg4MAo=
210625154214	CLNM	space_prob	excellent	MjEwNjI1MTU0MjE0Q0xOTXNwYWNlX3Byb2JleGNlbGxlbnQyMDk0MQo=
210625154214	CLNM	space_prob	good	MjEwNjI1MTU0MjE0Q0xOTXNwYWNlX3Byb2Jnb29kNDIyOQo=
210625154214	CLNM	engine	unknown	MjEwNjI1MTU0MjE0Q0xOTWVuZ2luZXVua25vd24zMTI1Ngo=
210625154214	CLNM	space_prob	excellent	MjEwNjI1MTU0MjE0Q0xOTXNwYWNlX3Byb2JleGNlbGxlbnQ4NTYwCg==
210625154214	CLNM	rocket	warning	MjEwNjI1MTU0MjE0Q0xOTXJvY2tldHdhcm5pbmcxMTcyMAo=
210625154214	CLNM	engine	excellent	MjEwNjI1MTU0MjE0Q0xOTWVuZ2luZWV4Y2VsbGVudDE0MzA0Cg==
210625154214	CLNM	rocket	faulty	MjEwNjI1MTU0MjE0Q0xOTXJvY2tldGZhdWx0eTI2OTYyCg==
210625154214	CLNM	space_prob	faulty	MjEwNjI1MTU0MjE0Q0xOTXNwYWNlX3Byb2JmYXVsdHkyMTM4NAo=
210625154214	CLNM	spaceship	killed	MjEwNjI1MTU0MjE0Q0xOTXNwYWNlc2hpcGtpbGxlZDMxNDA3Cg==
210625154214	CLNM	space_prob	killed	MjEwNjI1MTU0MjE0Q0xOTXNwYWNlX3Byb2JraWxsZWQxMTQyNQo=
210625154214	CLNM	rocket	excellent	MjEwNjI1MTU0MjE0Q0xOTXJvY2tldGV4Y2VsbGVudDI2MTI5Cg==
