mission,device_type,percent_of_total_events
CLNM,engine,3.2
CLNM,rocket,1.6
CLNM,satellite,2.4
CLNM,space_prob,1.6
CLNM,spaceship,1.6
CLNM,telescope,4.8
GALXONE,engine,3.2
GALXONE,rocket,1.6
GALXONE,satellite,8.0
GALXONE,space_prob,3.2
GALXONE,spaceship,4.0
GALXONE,telescope,3.2
ORBONE,engine,5.6
ORBONE,rocket,2.4
ORBONE,satellite,1.6
ORBONE,space_prob,1.6
ORBONE,spaceship,2.4
ORBONE,telescope,2.4
TMRS,engine,2.4
TMRS,rocket,4.0
TMRS,satellite,7.2
TMRS,space_prob,5.6
TMRS,spaceship,2.4
TMRS,telescope,3.2
UNKN,unknown,20.8
