mission,device_type,percent_of_total_events
CLNM,engine,3.55
CLNM,rocket,2.84
CLNM,satellite,3.55
CLNM,space_prob,4.26
CLNM,spaceship,2.84
CLNM,telescope,4.26
GALXONE,engine,4.96
GALXONE,rocket,2.84
GALXONE,satellite,2.84
GALXONE,space_prob,3.55
GALXONE,spaceship,5.67
GALXONE,telescope,2.84
ORBONE,engine,7.8
ORBONE,rocket,1.42
ORBONE,satellite,7.8
ORBONE,space_prob,0.71
ORBONE,spaceship,4.26
ORBONE,telescope,3.55
TMRS,engine,1.42
TMRS,rocket,2.13
TMRS,space_prob,4.96
TMRS,spaceship,2.84
TMRS,telescope,0.71
UNKN,unknown,18.44
