mission,device_type,device_status,num_events
CLNM,engine,killed,4
CLNM,engine,warning,1
CLNM,rocket,excellent,2
CLNM,rocket,faulty,1
CLNM,rocket,warning,1
CLNM,satellite,excellent,1
CLNM,satellite,faulty,1
CLNM,satellite,good,1
CLNM,satellite,unknown,1
CLNM,satellite,warning,1
CLNM,space_prob,faulty,3
CLNM,space_prob,good,1
CLNM,space_prob,unknown,2
CLNM,spaceship,excellent,1
CLNM,spaceship,unknown,3
CLNM,telescope,excellent,1
CLNM,telescope,faulty,1
CLNM,telescope,good,3
CLNM,telescope,unknown,1
GALXONE,engine,killed,3
GALXONE,engine,unknown,1
GALXONE,engine,warning,3
GALXONE,rocket,excellent,1
GALXONE,rocket,faulty,1
GALXONE,rocket,unknown,1
GALXONE,rocket,warning,1
GALXONE,satellite,excellent,2
GALXONE,satellite,good,1
GALXONE,satellite,warning,1
GALXONE,space_prob,faulty,2
GALXONE,space_prob,good,1
GALXONE,space_prob,killed,1
GALXONE,space_prob,warning,1
GALXONE,spaceship,excellent,1
GALXONE,spaceship,faulty,2
GALXONE,spaceship,good,1
GALXONE,spaceship,killed,3
GALXONE,spaceship,unknown,1
GALXONE,telescope,killed,1
GALXONE,telescope,unknown,2
GALXONE,telescope,warning,1
ORBONE,engine,excellent,2
ORBONE,engine,faulty,3
ORBONE,engine,good,3
ORBONE,engine,unknown,1
ORBONE,engine,warning,2
ORBONE,rocket,excellent,1
ORBONE,rocket,good,1
ORBONE,satellite,excellent,2
ORBONE,satellite,faulty,2
ORBONE,satellite,good,2
ORBONE,satellite,killed,2
ORBONE,satellite,unknown,2
ORBONE,satellite,warning,1
ORBONE,space_prob,good,1
ORBONE,spaceship,excellent,1
ORBONE,spaceship,faulty,1
ORBONE,spaceship,unknown,2
ORBONE,spaceship,warning,2
ORBONE,telescope,faulty,1
ORBONE,telescope,good,2
ORBONE,telescope,unknown,1
ORBONE,telescope,warning,1
TMRS,engine,killed,1
TMRS,engine,unknown,1
TMRS,rocket,unknown,2
TMRS,rocket,warning,1
TMRS,space_prob,excellent,3
TMRS,space_prob,unknown,3
TMRS,space_prob,warning,1
TMRS,spaceship,faulty,1
TMRS,spaceship,good,2
TMRS,spaceship,killed,1
TMRS,telescope,good,1
UNKN,unknown,unknown,26
