mission,device_type,device_status,num_events
CLNM,engine,excellent,4
CLNM,engine,killed,1
CLNM,engine,unknown,1
CLNM,engine,warning,1
CLNM,rocket,excellent,1
CLNM,rocket,faulty,2
CLNM,rocket,killed,1
CLNM,rocket,unknown,3
CLNM,satellite,excellent,1
CLNM,satellite,good,2
CLNM,satellite,killed,2
CLNM,satellite,unknown,1
CLNM,space_prob,faulty,1
CLNM,space_prob,good,1
CLNM,space_prob,killed,1
CLNM,space_prob,unknown,2
CLNM,space_prob,warning,1
CLNM,spaceship,faulty,1
CLNM,spaceship,killed,1
CLNM,spaceship,warning,1
CLNM,telescope,excellent,2
CLNM,telescope,faulty,1
CLNM,telescope,killed,1
CLNM,telescope,unknown,1
CLNM,telescope,warning,3
GALXONE,engine,excellent,2
GALXONE,engine,killed,2
GALXONE,engine,unknown,2
GALXONE,rocket,excellent,1
GALXONE,rocket,faulty,2
GALXONE,rocket,killed,1
GALXONE,rocket,warning,2
GALXONE,satellite,excellent,2
GALXONE,satellite,faulty,3
GALXONE,satellite,good,1
GALXONE,satellite,killed,1
GALXONE,space_prob,faulty,2
GALXONE,space_prob,good,1
GALXONE,space_prob,unknown,1
GALXONE,space_prob,warning,1
GALXONE,spaceship,excellent,1
GALXONE,spaceship,faulty,1
GALXONE,spaceship,killed,1
GALXONE,spaceship,unknown,1
GALXONE,spaceship,warning,2
GALXONE,telescope,excellent,4
GALXONE,telescope,faulty,1
GALXONE,telescope,killed,1
GALXONE,telescope,unknown,1
GALXONE,telescope,warning,2
ORBONE,engine,excellent,1
ORBONE,engine,faulty,1
ORBONE,engine,good,1
ORBONE,engine,killed,1
ORBONE,rocket,excellent,3
ORBONE,rocket,faulty,1
ORBONE,rocket,good,1
ORBONE,rocket,unknown,1
ORBONE,rocket,warning,2
ORBONE,satellite,faulty,1
ORBONE,satellite,good,4
ORBONE,satellite,killed,2
ORBONE,satellite,unknown,1
ORBONE,satellite,warning,2
ORBONE,space_prob,excellent,3
ORBONE,space_prob,faulty,2
ORBONE,space_prob,good,1
ORBONE,space_prob,killed,1
ORBONE,space_prob,unknown,3
ORBONE,space_prob,warning,2
ORBONE,spaceship,excellent,1
ORBONE,spaceship,faulty,1
ORBONE,spaceship,killed,1
ORBONE,spaceship,unknown,1
ORBONE,spaceship,warning,1
ORBONE,telescope,faulty,1
ORBONE,telescope,good,2
ORBONE,telescope,warning,1
TMRS,engine,excellent,1
TMRS,engine,faulty,1
TMRS,engine,good,2
TMRS,engine,unknown,2
TMRS,engine,warning,1
TMRS,rocket,excellent,1
TMRS,rocket,faulty,1
TMRS,rocket,good,3
TMRS,rocket,killed,2
TMRS,satellite,excellent,2
TMRS,satellite,good,2
TMRS,satellite,killed,1
TMRS,satellite,unknown,1
TMRS,satellite,warning,2
TMRS,space_prob,faulty,2
TMRS,space_prob,killed,1
TMRS,space_prob,unknown,1
TMRS,space_prob,warning,3
TMRS,spaceship,faulty,2
TMRS,spaceship,good,1
TMRS,spaceship,unknown,1
TMRS,spaceship,warning,2
TMRS,telescope,faulty,1
TMRS,telescope,good,2
TMRS,telescope,killed,2
TMRS,telescope,unknown,2
UNKN,unknown,unknown,28
