mission,device_type,percent_of_total_events
CLNM,engine,3.7
CLNM,rocket,3.7
CLNM,satellite,3.17
CLNM,space_prob,3.17
CLNM,spaceship,1.59
CLNM,telescope,4.23
GALXONE,engine,3.17
GALXONE,rocket,3.17
GALXONE,satellite,3.7
GALXONE,space_prob,2.65
GALXONE,spaceship,3.17
GALXONE,telescope,4.76
ORBONE,engine,2.12
ORBONE,rocket,4.23
ORBONE,satellite,5.29
ORBONE,space_prob,6.35
ORBONE,spaceship,2.65
ORBONE,telescope,2.12
TMRS,engine,3.7
TMRS,rocket,3.7
TMRS,satellite,4.23
TMRS,space_prob,3.7
TMRS,spaceship,3.17
TMRS,telescope,3.7
UNKN,unknown,14.81
