date	mission	device_type	device_status	hash
210625154059	CLNM	telescope	warning	MjEwNjI1MTU0MDU5Q0xOTXRlbGVzY29wZXdhcm5pbmc4MzQ4Cg==
210625154059	CLNM	space_prob	unknown	MjEwNjI1MTU0MDU5Q0xOTXNwYWNlX3Byb2J1bmtub3duMjU1ODcK
210625154059	CLNM	rocket	killed	MjEwNjI1MTU0MDU5Q0xOTXJvY2tldGtpbGxlZDE2ODYzCg==
210625154059	CLNM	rocket	unknown	MjEwNjI1MTU0MDU5Q0xOTXJvY2tldHVua25vd24yNzg3Nwo=
210625154059	CLNM	satellite	killed	MjEwNjI1MTU0MDU5Q0xOTXNhdGVsbGl0ZWtpbGxlZDE1NDEK
210625154059	CLNM	rocket	faulty	MjEwNjI1MTU0MDU5Q0xOTXJvY2tldGZhdWx0eTE5MTEyCg==
210625154059	CLNM	satellite	unknown	MjEwNjI1MTU0MDU5Q0xOTXNhdGVsbGl0ZXVua25vd24xMTYxMgo=
210625154059	CLNM	telescope	excellent	MjEwNjI1MTU0MDU5Q0xOTXRlbGVzY29wZWV4Y2VsbGVudDI1NDkwCg==
210625154059	CLNM	satellite	good	MjEwNjI1MTU0MDU5Q0xOTXNhdGVsbGl0ZWdvb2QzMjA0MQo=
210625154059	CLNM	space_prob	warning	MjEwNjI1MTU0MDU5Q0xOTXNwYWNlX3Byb2J3YXJuaW5nMTg5NDcK
210625154059	CLNM	space_prob	good	MjEwNjI1MTU0MDU5Q0xOTXNwYWNlX3Byb2Jnb29kMTMxNQo=
210625154059	CLNM	engine	warning	MjEwNjI1MTU0MDU5Q0xOTWVuZ2luZXdhcm5pbmcxNTk3Mgo=
210625154059	CLNM	engine	excellent	MjEwNjI1MTU0MDU5Q0xOTWVuZ2luZWV4Y2VsbGVudDE3NTg4Cg==
210625154059	CLNM	rocket	unknown	MjEwNjI1MTU0MDU5Q0xOTXJvY2tldHVua25vd24yOTcwOAo=
210625154059	CLNM	rocket	faulty	MjEwNjI1MTU0MDU5Q0xOTXJvY2tldGZhdWx0eTMyNDUK
210625154059	CLNM	spaceship	warning	MjEwNjI1MTU0MDU5Q0xOTXNwYWNlc2hpcHdhcm5pbmcyNTg1MQo=
210625154059	CLNM	space_prob	killed	MjEwNjI1MTU0MDU5Q0xOTXNwYWNlX3Byb2JraWxsZWQ5MTIyCg==
210625154059	CLNM	telescope	unknown	MjEwNjI1MTU0MDU5Q0xOTXRlbGVzY29wZXVua25vd24xMTk2OAo=
210625154059	CLNM	telescope	killed	MjEwNjI1MTU0MDU5Q0xOTXRlbGVzY29wZWtpbGxlZDExODk5Cg==
210625154059	CLNM	telescope	warning	MjEwNjI1MTU0MDU5Q0xOTXRlbGVzY29wZXdhcm5pbmcyNDEzNgo=
210625154059	CLNM	engine	unknown	MjEwNjI1MTU0MDU5Q0xOTWVuZ2luZXVua25vd24yNjMxNgo=
210625154059	CLNM	spaceship	faulty	MjEwNjI1MTU0MDU5Q0xOTXNwYWNlc2hpcGZhdWx0eTE1NTIK
210625154059	CLNM	satellite	killed	MjEwNjI1MTU0MDU5Q0xOTXNhdGVsbGl0ZWtpbGxlZDE2Mjg0Cg==
210625154059	CLNM	spaceship	killed	MjEwNjI1MTU0MDU5Q0xOTXNwYWNlc2hpcGtpbGxlZDU3OTIK
210625154059	CLNM	engine	excellent	MjEwNjI1MTU0MDU5Q0xOTWVuZ2luZWV4Y2VsbGVudDE0NDgyCg==
210625154059	CLNM	engine	excellent	MjEwNjI1MTU0MDU5Q0xOTWVuZ2luZWV4Y2VsbGVudDUyNTUK
210625154059	CLNM	space_prob	faulty	MjEwNjI1MTU0MDU5Q0xOTXNwYWNlX3Byb2JmYXVsdHkxNDU4Mgo=
