mission,device_type,device_status,num_events
CLNM,engine,excellent,3
CLNM,engine,faulty,2
CLNM,engine,good,1
CLNM,engine,killed,2
CLNM,engine,unknown,2
CLNM,rocket,faulty,1
CLNM,rocket,good,2
CLNM,rocket,unknown,2
CLNM,rocket,warning,1
CLNM,satellite,excellent,1
CLNM,satellite,faulty,1
CLNM,satellite,unknown,2
CLNM,space_prob,excellent,1
CLNM,space_prob,good,1
CLNM,space_prob,killed,1
CLNM,space_prob,unknown,1
CLNM,telescope,good,1
CLNM,telescope,unknown,3
GALXONE,engine,excellent,1
GALXONE,engine,faulty,1
GALXONE,engine,good,2
GALXONE,rocket,excellent,1
GALXONE,rocket,good,2
GALXONE,rocket,killed,2
GALXONE,rocket,unknown,1
GALXONE,rocket,warning,2
GALXONE,satellite,faulty,2
GALXONE,satellite,good,1
GALXONE,satellite,unknown,2
GALXONE,space_prob,excellent,1
GALXONE,space_prob,good,1
GALXONE,space_prob,killed,3
GALXONE,space_prob,warning,1
GALXONE,spaceship,excellent,2
GALXONE,spaceship,faulty,1
GALXONE,spaceship,good,2
GALXONE,spaceship,killed,1
GALXONE,spaceship,warning,1
GALXONE,telescope,faulty,1
GALXONE,telescope,good,1
GALXONE,telescope,killed,2
GALXONE,telescope,unknown,1
GALXONE,telescope,warning,1
ORBONE,engine,excellent,1
ORBONE,engine,faulty,1
ORBONE,engine,unknown,1
ORBONE,engine,warning,2
ORBONE,rocket,faulty,1
ORBONE,rocket,unknown,2
ORBONE,satellite,excellent,1
ORBONE,satellite,faulty,3
ORBONE,satellite,killed,2
ORBONE,satellite,warning,1
ORBONE,space_prob,faulty,1
ORBONE,space_prob,good,2
ORBONE,space_prob,unknown,2
ORBONE,space_prob,warning,1
ORBONE,spaceship,excellent,2
ORBONE,spaceship,good,2
ORBONE,spaceship,killed,1
ORBONE,spaceship,warning,1
ORBONE,telescope,faulty,1
ORBONE,telescope,good,1
ORBONE,telescope,killed,2
ORBONE,telescope,unknown,2
TMRS,engine,excellent,4
TMRS,engine,good,1
TMRS,engine,killed,1
TMRS,engine,warning,1
TMRS,rocket,faulty,2
TMRS,rocket,good,1
TMRS,rocket,killed,2
TMRS,rocket,unknown,2
TMRS,rocket,warning,3
TMRS,satellite,faulty,1
TMRS,satellite,good,1
TMRS,satellite,warning,1
TMRS,space_prob,excellent,1
TMRS,space_prob,faulty,1
TMRS,space_prob,good,2
TMRS,space_prob,unknown,1
TMRS,space_prob,warning,2
TMRS,spaceship,faulty,2
TMRS,spaceship,killed,1
TMRS,spaceship,unknown,2
TMRS,telescope,excellent,2
TMRS,telescope,faulty,1
TMRS,telescope,good,1
TMRS,telescope,warning,1
UNKN,unknown,unknown,41
