mission,device_type,percent_of_total_events
CLNM,engine,5.71
CLNM,rocket,3.43
CLNM,satellite,2.29
CLNM,space_prob,2.29
CLNM,telescope,2.29
GALXONE,engine,2.29
GALXONE,rocket,4.57
GALXONE,satellite,2.86
GALXONE,space_prob,3.43
GALXONE,spaceship,4.0
GALXONE,telescope,3.43
ORBONE,engine,2.86
ORBONE,rocket,1.71
ORBONE,satellite,4.0
ORBONE,space_prob,3.43
ORBONE,spaceship,3.43
ORBONE,telescope,3.43
TMRS,engine,4.0
TMRS,rocket,5.71
TMRS,satellite,1.71
TMRS,space_prob,4.0
TMRS,spaceship,2.86
TMRS,telescope,2.86
UNKN,unknown,23.43
